Genome ID,species,Label,Genome Name,Host Name,Isolation Source,Isolation Comments,Genome Quality,Collection Date,Date Inserted,Other Clinical,Host Health,Disease,Comments
472695.7,Pantoea septica,HP,Pantoea septica strain LMG 5345,"Human, Homo sapiens",human fecal,isolated from human fecal,Good,1983,2017-05-28 20:43:00.651000+00:00,,,,"Pantoea septica LMG 5345T is a human pathogen, isolated from human fecal. The goal of this project is to obtain genome sequence data for every described species in the phenotypically diverse genus, Pantoea. With genome sequence data representative of the genus, the evolution and cohesiveness of this bacterial genus can be investigated and can be applied to other bacterial genera."
1491.351,Clostridium botulinum,HP,Clostridium botulinum CFSAN024410,"Human, Homo sapiens",infant stool,,Good,2010,2015-03-12 13:45:52.312000+00:00,,,,Draft and complete genome sequences of foodborne bacterial pathogens collected for research purposes at the FDA's Center for Food Safety and Applied Nutrition.
1285.5,Staphylococcus intermedius,HP,Staphylococcus intermedius strain NW1,"Human, Homo sapiens",wound,"isolated from a human wound infection in Cornwall, UK and carries an array of virulence genes but no known mobilizable antibiotic resistance genes",Good,2012,2017-05-31 02:06:06.384000+00:00,,,,"We here describe a novel species in the Staphylococcus intermedius group (SIG) which is phenotypically similar to S. pseudintermedius but is genomically distinct from other SIG members, with an Average Nucleotide Identity of 90.2% with closest relative S. intermedius. The type strain (culture collection accession numbers to be added in revision) was isolated from a human wound infection in Cornwall, UK and carries an array of virulence genes but no known mobilizable antibiotic resistance genes. This is the eighth coagulase positive pathogenic Staphylococcus species described. Further studies are required to assess the prevalence of this species in humans as well as companion animals and its potential importance as an emerging zoonosis."
1891186.3,Vibrio aphrogenes,HP,Vibrio sp. CA-1004 strain CA1004,"Human, Homo sapiens","marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth","isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth",Good,1994,2017-07-21 22:36:48.091000+00:00,,,,"The genus Vibrio is a large group of bacteria isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth. These bacteria are associated with host-microbe interactions in the marine ecosystem including fish/shellfish pathogenicity, mutual symbiosis with marine organisms, and make a significant contribution to nutrient cycles by mediating organic matter decomposition. Strains of the genus Vibrio also showed versatile metabolism ability. This projcet is aimed to propose new taxa in Vibrionaceae."
1891184.3,Thaumasiovibrio occultus,HP,Thaumasiovibrio occultus strain C4II189,"Human, Homo sapiens","marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth","isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth",Good,2014-07-14,2017-07-21 22:55:10.069000+00:00,,,,"The genus Vibrio is a large group of bacteria isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth. These bacteria are associated with host-microbe interactions in the marine ecosystem including fish/shellfish pathogenicity, mutual symbiosis with marine organisms, and make a significant contribution to nutrient cycles by mediating organic matter decomposition. Strains of the genus Vibrio also showed versatile metabolism ability. This projcet is aimed to propose new taxa in Vibrionaceae."
90241.3,Moraxella lincolnii,HP,Moraxella lincolnii strain CCUG 9405,"Human, Homo sapiens",Human nasopharynx,,Good,27-Jan-80,2017-03-20 08:44:59.228000+00:00,host_disease_stage:Fever and urinary tract infection,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
1891207.3,Thaumasiovibrio subtropicus,HP,Thaumasiovibrio subtropicus strain C4V358,"Human, Homo sapiens","marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth","isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth",Good,2014-07-14,2017-07-21 23:10:57.767000+00:00,,,,"The genus Vibrio is a large group of bacteria isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth. These bacteria are associated with host-microbe interactions in the marine ecosystem including fish/shellfish pathogenicity, mutual symbiosis with marine organisms, and make a significant contribution to nutrient cycles by mediating organic matter decomposition. Strains of the genus Vibrio also showed versatile metabolism ability. This projcet is aimed to propose new taxa in Vibrionaceae."
2014537.6,Corynebacterium belfantii,HP,Corynebacterium diphtheriae bv. belfanti strain 1734,"Human, Homo sapiens",,,Good,2000,2017-07-22 22:29:38.032000+00:00,,Sore throat,,Genome sequencing of a collection of pathogenic Corynebacterium
487698.6,Stenotrophomonas pavanii,HP,Stenotrophomonas pavanii strain S18795,"Human, Homo sapiens",blood,,Good,28-May-2016,2017-07-23 00:12:03.070000+00:00,,,,"Stenotrophomonas maltophilia is a Gram-negative, nonfermentative, environmental bacillus that has emerged as an important cause of MDR nosocomial infections in immunocompromised patients. Similar to our Pseudomonas project, Stenotrophomonas can confer resistance to carbapenem and extended spectrum beta lactamases via to intrinsic (chromosomally encoded) bla genes, L1 and L2. From a recent paper by the Bonomo lab (attached), ""The L1 inducible metallo-β-lactamase (MBL) hydrolyzes carbapenems and other β-lactams, with the exception of the monobactam aztreonam (ATM), and is resistant to all clinically available β-lactamase inhibitors. The L2 β-lactamase is a chromosomally encoded, inducible cephalosporinase that confers resistance to extended-spectrum cephalosporins and ATM but can be inhibited by commercially available serine-β-lactamase inhibitors such as clavulanic acid."" They have noticed several S. maltophilia isolates that are PCR negative for L1 and L2; therefore, it is imperative to identify the mechanism of resistance to the β-lactam-diazabicyclooctane combination. The goal of this study is to identify the mechanism of β-lactam-diazabicyclooctane resistance in S. maltophilia."
618.3,Serratia odorifera,HP,Serratia odorifera strain FDAARGOS_353,"Human, Homo sapiens",Sputum,,Good,1978,2017-07-23 00:57:43.786000+00:00,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available."
2052.4,Mobiluncus mulieris,HP,Mobiluncus mulieris strain FDAARGOS_303,"Human, Homo sapiens","Vaginal secretion from patient in Seattle, WA",,Good,1984,2017-07-23 01:03:27.930000+00:00,host_description:College student;host_disease_outcome:Cleared infection,Bacterial vaginosis,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available."
1667024.3,Vibrio algivorus,HP,Vibrio algivorus strain NBRC111146,"Human, Homo sapiens","marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth","isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth",Good,2016,2017-07-23 07:13:13.010000+00:00,,,,"The genus Vibrio is a large group of bacteria isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth. These bacteria are associated with host-microbe interactions in the marine ecosystem including fish/shellfish pathogenicity, mutual symbiosis with marine organisms, and make a significant contribution to nutrient cycles by mediating organic matter decomposition. Strains of the genus Vibrio also showed versatile metabolism ability. This projcet is aimed to propose new speices description of genus Vibrio."
673372.5,Vibrio casei,HP,Vibrio casei strain DSM 22364,"Human, Homo sapiens","marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth","isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth",Good,2010,2017-07-23 07:15:19.627000+00:00,,,,"The genus Vibrio is a large group of bacteria isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth. These bacteria are associated with host-microbe interactions in the marine ecosystem including fish/shellfish pathogenicity, mutual symbiosis with marine organisms, and make a significant contribution to nutrient cycles by mediating organic matter decomposition. Strains of the genus Vibrio also showed versatile metabolism ability. This projcet is aimed to propose new speices description of genus Vibrio."
76258.3,Vibrio rumoiensis,HP,Vibrio rumoiensis strain FERM P-14531,"Human, Homo sapiens","marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth","isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth",Good,1999,2017-07-23 07:23:16.133000+00:00,,,,"The genus Vibrio is a large group of bacteria isolated from marine, brackish and human origins showing Gram-negative and sodium ion requirement for the growth. These bacteria are associated with host-microbe interactions in the marine ecosystem including fish/shellfish pathogenicity, mutual symbiosis with marine organisms, and make a significant contribution to nutrient cycles by mediating organic matter decomposition. Strains of the genus Vibrio also showed versatile metabolism ability. This projcet is aimed to propose new speices description of genus Vibrio."
1211023.3,Porphyromonas gingivalis,HP,Porphyromonas gingivalis SJD2,"Human, Homo sapiens",subgingival dental plaque,,Good,2009,2014-12-08 22:12:33.064000+00:00,,,,"Porphyromonas gingivalis is an important pathogen of periodontal disease. Three widely studied type strains and one clinical strain of P. gingivalis have been genome-sequenced during the past decade. To analyze the pan-gemome of P. gingivalis, we sequenced several genomes of clinical strains of this species."
1329.10,Streptococcus canis,HP,Streptococcus canis strain G361,"Human, Homo sapiens",vaginal swab,isolated from humans,Good,2006-05,2017-09-28 19:34:01.813000+00:00,,,,"We herewith present the draft genome sequence of the first S. canis strain (G361) isolated from humans. The patient was a 40-year-old female from Lower Saxony, Germany. The isolate was obtained from a vaginal swab; a potential medical indication is unknown."
1768011.4,Sphingobacterium cellulitidis,HP,Sphingobacterium cellulitidis strain R-53603,"Human, Homo sapiens",purulent discharge from right toe,,Good,2013,2017-09-28 19:57:16.087000+00:00,host_disease_outcome:recovered,cellulitis,,"Draft genome sequences of two strains of a newly described species of Sphingobacterium, Sphingobacterium cellulitidis"
561879.32,Bacillus safensis,HP,Bacillus safensis strain Ingolstadt,"Human, Homo sapiens",pectoralis pouch,isolated from a patient with bacterial colonization after heart surgery,Good,24-Jan-2017,2017-09-28 20:12:55.919000+00:00,,bacterial colonization after heart surgery,,Genome announcement. We report the draft genome sequence of clindamycin resistant Bacillus safensis strain Ingolstadt isolated from a patient with bacterial colonization after heart surgery.
1227275.3,Streptococcus sobrinus,HP,Streptococcus sobrinus W1703,"Human, Homo sapiens",dental plaque biofilm of the third molar tooth of an individual diagnosed with pericoronitis,,Good,1989,2014-12-08 22:13:36.734000+00:00,,,Pericoronitis,HMP reference genome
79880.15,Bacillus clausii,HP,Bacillus clausii strain B106,"Human, Homo sapiens",,,Good,2017,2017-09-28 21:05:29.242000+00:00,,,,Genome analysis of Bacillus for evaluation of its health promoting and disease preventing properties
168.5,Treponema pallidum,HP,Treponema pallidum subsp. pertenue strain CDC 2575,"Human, Homo sapiens",disease,isolated in 1980 in Ghana,Good,1980,2017-09-28 21:13:57.520000+00:00,host_disease_stage:disease,yaws,,Treponema pallidum subsp. pertenue is the causative agent of tropical disease yaws. The strain CDC2575 was isolated in 1980 in Ghana. This strain will be used for comparative analysis.
1945581.3,Chryseobacterium mucoviscidosis,HP,Chryseobacterium sp. VT16-26 strain VT16-26,"Human, Homo sapiens",Sputum,,Good,2016,2017-07-22 13:12:32.017000+00:00,,Cystic fibrosis,,Previously unknown bacterial species isolated from lungs of cystic fibrosis patient
546367.16,Hafnia paralvei,HP,Hafnia paralvei strain FDAARGOS_230,"Human, Homo sapiens",Endotracheal aspirate,,Good,9-Jul-14,2017-09-29 01:45:11.704000+00:00,,Colonization,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available."
736.3,Haemophilus paraphrohaemolyticus,HP,Haemophilus paraphrohaemolyticus strain CCUG 3718,"Human, Homo sapiens",Sputum,,Good,1970,2017-03-20 08:44:55.809000+00:00,,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
1914868.3,Comamonas kerstersii,HP,Acidovorax sp. 202149 strain 202149,"Human, Homo sapiens",pyogenic fluids,,Good,2015-02-02,2017-03-20 08:23:35.913000+00:00,,,,Genome Sequence and Comparative GenomicAnalysis of Three Clinical Acidovorax sp. Isolates
321318.5,Dietzia cinnamea,HP,Dietzia cinnamea strain CD11_5,"Human, Homo sapiens",Duodenal mucosa of Celiac disease patient,,Good,23-Jan-15,2016-07-04 23:57:03.597000+00:00,,,,"Cells are rod-shaped, exhibit snapping division and produce V-forms. Gram-positive and not acid-fast. Aerobic, catalase positive, oxidase-negative."
273677.7,Microbacterium oleivorans,HP,Microbacterium oleivorans strain CD11_3,"Human, Homo sapiens",Duodenal mucosa of Celiac disease patient,,Good,22-Jan-15,2016-07-05 01:27:18.014000+00:00,,,,"Cells are obligate aerobic, Gram-positive, non-sporeforming, immotile, irregular rods. H2S is not produced, arginine is not hydrolysed, urease is not present and the Voges–Proskauer reaction is negative"
1376.199,Aerococcus urinae,HP,Aerococcus urinae strain AU3,"Human, Homo sapiens",Blood,"isolated from a patient at SUS hospital, Lund, Sweden",Good,2010,2016-07-05 09:35:39.546000+00:00,,Bacteremia,,"Aerococcus urinae strain AU3 isolated from a patient at SUS hospital, Lund, Sweden."
104628.18,Helicobacter suis,HP,Helicobacter suis strain SNTW101,"Human, Homo sapiens",33-year-old Japanese patient suffering from nodular gastritis was used for the whole-genome sequencing,isolated from a 33-year-old Japanese patient suffering from nodular gastritis was used for the whole-genome sequencing,Good,10/6/08,2016-07-05 14:21:09.704000+00:00,,nodular gastritis was used for the whole-genome sequencing,,"Helicobacter suis strain SNTW101 isolated from a 33-year-old Japanese patient suffering from nodular gastritis was used for the whole-genome sequencing. In vitro cultivation of H. suis strains isolated from patients remains impossible at this moment. Therefore, we tried the shotgun sequencing of extracted DNA mixtures including host genome, H. suis genome, and other bacterial genome. We found new virulence genes, which may induce gastric diseases in humans."
1736693.3,Rickettsia sp. Tenjiku01,HP,Rickettsia sp. Tenjiku01,"Human, Homo sapiens",the blood,isolated from the blood,Good,3/10/11,2016-07-05 14:31:50.413000+00:00,,,spotted fever group rickettsiosis,"A 60-year-old Japanese woman developed fever, headache, skin rash, and altered vision after returning from India. We detected elevated antibody titers for spotted fever group rickettsia. A polymerase chain reaction test yielded positive results for rickettsial ompA. A unique rickettsial agent was isolated from the blood. Full-genome analysis ensued."
83262.19,Mycobacteroides immunogenum,HP,Mycobacterium immunogenum strain CD11-6,"Human, Homo sapiens",Duodenal mucosa of Celiac disease patient,,Good,23-Jan-15,2016-07-05 18:34:03.813000+00:00,,,,"Gram-positive, acid- and alcohol-fast, curved bacillus that grows aerobically. It does not form spores or aerial hyphae"
43304.7,Mycolicibacterium peregrinum,HP,Mycobacterium peregrinum strain ACS819,"Human, Homo sapiens",Sputum,,Good,10/23/09,2016-07-06 14:51:52.929000+00:00,,,,"The objective of the proposed analysis is to characterize NTM strains representing geographically diverse TB-endemic areas with high NTM prevalence. The availability of these well-characterized strains will help researchers better understand the NTM/TB disease dynamic and the impact of NTMs on TB vaccine trial results, particularly on a candidate vaccine’s immunogenicity and protective efficacy."
451644.7,Mycolicibacterium conceptionense,HP,Mycobacterium conceptionense strain ACS2738,"Human, Homo sapiens",Sputum,,Good,5/26/10,2016-07-06 08:03:56.799000+00:00,,,,"The objective of the proposed analysis is to characterize NTM strains representing geographically diverse TB-endemic areas with high NTM prevalence. The availability of these well-characterized strains will help researchers better understand the NTM/TB disease dynamic and the impact of NTMs on TB vaccine trial results, particularly on a candidate vaccine’s immunogenicity and protective efficacy."
1787.3,Mycobacterium szulgai,HP,Mycobacterium szulgai strain ACS1160,"Human, Homo sapiens",Sputum,,Good,12/7/09,2016-07-06 16:30:52.937000+00:00,,,,"The objective of the proposed analysis is to characterize NTM strains representing geographically diverse TB-endemic areas with high NTM prevalence. The availability of these well-characterized strains will help researchers better understand the NTM/TB disease dynamic and the impact of NTMs on TB vaccine trial results, particularly on a candidate vaccine’s immunogenicity and protective efficacy."
729.36,Haemophilus parainfluenzae,HP,Haemophilus parainfluenzae strain CCUG 62655,"Human, Homo sapiens",,,Good,14-May-2012,2016-08-26 17:53:10.673000+00:00,,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
34062.5,Moraxella osloensis,HP,Moraxella osloensis strain CCUG 57516,"Human, Homo sapiens",blood,,Good,2008-12-23,2016-08-26 18:22:33.747000+00:00,host_description:Newborn,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
354243.3,Mycolicibacter kumamotonensis,HP,Mycobacterium kumamotonense strain Roo,"Human, Homo sapiens",sputum,,Good,Mar-2015,2016-08-26 20:40:16.066000+00:00,,pulmonary disease,,genome sequence of Mycobacterium kumamotonense strain Roo
34059.5,Moraxella atlantae,HP,Moraxella atlantae strain CCUG 59586,"Human, Homo sapiens",blood,,Good,2010-03-19,2016-09-11 10:34:29.957000+00:00,,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
478.4,Moraxella nonliquefaciens,HP,Moraxella nonliquefaciens strain CCUG 47514,"Human, Homo sapiens",Human cornea,,Good,2003-03-09,2016-08-26 18:13:38.115000+00:00,,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
29394.18,Dolosigranulum pigrum,HP,Dolosigranulum pigrum strain 15S00348,"Human, Homo sapiens",,,Good,2015-07-20,2017-03-20 08:26:16.388000+00:00,,interstitial lung disease,,Genome announcement publication to describe the complete genome assembly of D.pigrum
477.5,Moraxella lacunata,HP,Moraxella lacunata strain CCUG 65142,"Human, Homo sapiens",cornea,,Good,2013-12-05,2016-09-11 10:38:51.632000+00:00,,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
1117645.129,Elizabethkingia anophelis,HP,Elizabethkingia anophelis strain EM361-97,"Human, Homo sapiens",blood,,Good,2010-01-07,2016-09-11 20:02:24.602000+00:00,host_disease_outcome:death,Lung cancer,,Elizabethkingia meningoseptica is an emerging infection in humans. The goal of this study is to sequence the genome that could contribute to its virulence. Organism name updated to Elizabethkingia anophelis based on average nucleotide identity (ANI) test
83554.69,Chlamydia psittaci,HP,Chlamydia psittaci strain Po An,"Human, Homo sapiens",Throat swab,"isolated from a human patient with pneumonia in NSW, Australia",Good,2009,2016-11-16 12:44:56.749000+00:00,,pneumonia,,"Chlamydia psittaci Po An was isolated from a human patient with pneumonia in NSW, Australia."
110505.3,Mycobacterium heckeshornense,HP,Mycobacterium heckeshornense strain RLE,"Human, Homo sapiens",sputum,,Good,May-2015,2016-01-17 16:20:44.491000+00:00,,pulmonary disease,,genome sequence of Mycobacterium heckeshornense strain RLE
1914540.3,Bacillus obstructivus,HP,Bacillus sp. VT-16-70,"Human, Homo sapiens",sputum samples from patient with COPD,,Good,2016-07,2017-01-16 06:40:22.439000+00:00,,Chronic obstructive pulmonary diseases,,Bacteria are isolated from sputum of acute exacerbation of chronic obstructive pulmonary disease
1839807.3,Rappaport israeli,HP,Cardiobacteriaceae bacterium B08008,"Human, Homo sapiens",blood,,Good,2012,2017-01-16 06:43:30.220000+00:00,host_description:not applicable;host_disease_outcome:recovery;host_disease_stage:fever;host_health_state:septicamiya (sepsis);host_subject_id:not applicable,bacteremia,,"a new bacterial genus and species from the Cardiobacteriaceae family, Rappaport Israeli"
1307414.3,Vibrio injenensis,HP,Vibrio sp. M12-1144,"Human, Homo sapiens",,,Good,2015-03-26,2017-01-16 11:13:12.628000+00:00,,,,Characterization and phylogenetic analysis of anaerobic bacteria isolated from clinical samples and Submission of sequences assembled using short-read data generated on Illumina HiSeq
222805.6,Mycobacterium chimaera,HP,Mycobacterium chimaera strain MCIMRL2,"Human, Homo sapiens",sputum,,Good,2009,2016-01-17 17:13:33.201000+00:00,,Respiratory Tract Disease,,Mycobacterium chimaera is a non-tuberculous mycobacterium (NTM) within the Mycobacterium avium complex (MAC). It is associated with opportunistic lung infections and post-operative endocarditis. The goal of this study was to sequence the genomes of Irish M. chimaera isolates to provide the first genomic data for this species in order to aid genomic epidemiology and progress understanding of M. chimaera biology.
2098.10,Mycoplasma hominis,HP,Mycoplasma hominis strain TOA,"Human, Homo sapiens",pelvic cavity of a patient with salpingitis and tubo-ovarian abscess,,Good,2013-06-03,2016-01-17 15:40:17.293000+00:00,,,,This strain will be used for comparative genome analysis
53378.3,Mycobacterium paraffinicum,HP,Mycobacterium paraffinicum strain M11,"Human, Homo sapiens",blood,,Good,2000,2017-01-17 02:19:46.353000+00:00,,sepsis,,"This is a meta-project to include all sequencing done by the UW Virology NGS group. We are interested in discovering viruses and new organisms through metagenomics across Washington state, the Pacific Northwest, and the world. We are also interested in whole genome sequencing of clinical isolates to better understand transmission and resistance of microbial organisms in humans. If interested in submitting samples and collaborating, please contact us at uwvirongs@gmail.com."
39693.5,Mycolicibacterium porcinum,HP,Mycobacterium porcinum strain HMC1,"Human, Homo sapiens",wound,,Good,2016-12,2017-01-22 10:51:19.433000+00:00,,wound,,"This is a meta-project to include all sequencing done by the UW Virology NGS group. We are interested in discovering viruses and new organisms through metagenomics across Washington state, the Pacific Northwest, and the world. We are also interested in whole genome sequencing of clinical isolates to better understand transmission and resistance of microbial organisms in humans. If interested in submitting samples and collaborating, please contact us at uwvirongs@gmail.com."
1675530.4,Acinetobacter genomosp. 33YU,HP,Acinetobacter genomosp. 33YU strain A362,"Human, Homo sapiens",,,Good,May-2010,2017-03-20 07:42:27.441000+00:00,,,,"Identification of a novel clinical Acinetobacter species, A. yuneri"
1538463.3,Nocardia donostiensis,HP,Nocardia donostiensis strain X1655,"Human, Homo sapiens",sputum bronchus,,Good,23-May-2008,2017-03-20 07:46:05.442000+00:00,,chronic obstructive pulmonary disease (COPD),,Study goals include annotation and in silico comparison of bacterial genomes of a novel Nocardia species isolated from human respiratory samples
